N,V,Tiempo
51,251,2.75358
51,256,2.20331
51,261,1.96355
51,266,1.99884
51,271,1.95988
51,276,2.16094
51,281,2.59652
51,286,2.53058
51,291,2.69241
51,296,2.12826
51,301,2.67342
51,306,3.6078
51,311,2.80048
51,316,2.69268
51,321,2.75313
51,326,2.54469
51,331,2.56466
51,336,2.74076
51,341,2.68482
51,346,2.81439
51,351,2.78316
51,356,3.29234
51,361,2.68854
51,366,2.62755
51,371,2.93646
51,376,2.83166
51,381,3.08674
51,386,3.10066
51,391,3.75746
51,396,2.84352
51,401,4.74822
51,406,3.55538
51,411,3.28618
51,416,3.16756
51,421,3.34622
51,426,3.33988
51,431,3.39808
51,436,3.38712
51,441,3.5426
51,446,5.08134
51,451,3.43228
51,456,3.19591
51,461,3.36361
51,466,3.5688
51,471,3.74365
51,476,3.67196
51,481,4.14923
51,486,4.96956
51,491,4.1021
51,496,4.43469
56,1,0.051137
56,6,0.064468
56,11,0.105074
56,16,0.153744
56,21,0.145003
56,26,0.127613
56,31,0.218089
56,36,0.446956
56,41,0.484034
56,46,0.28387
56,51,0.326259
56,56,0.324276
56,61,0.453861
56,66,0.557435
56,71,0.715387
56,76,0.504052
56,81,0.648825
56,86,0.618465
56,91,0.71114
56,96,0.981082
56,101,0.971103
56,106,0.937886
56,111,1.08256
56,116,1.02363
56,121,1.14893
56,126,1.93471
56,131,1.31525
56,136,1.01123
56,141,1.81724
56,146,1.17365
56,151,1.59545
56,156,1.42355
56,161,1.57372
56,166,1.41115
56,171,1.30073
56,176,1.6771
56,181,2.4665
56,186,2.00531
56,191,2.77987
56,196,2.77738
56,201,2.47745
56,206,3.32791
56,211,31.7132
56,216,8.39929
56,221,6.19721
56,226,7.1718
56,231,5.70236
56,236,4.49442
56,241,4.68208
56,246,3.75384
56,251,3.38916
56,256,4.38378
56,261,2.93179
56,266,3.09198
56,271,3.23965
56,276,2.88638
56,281,3.27353
56,286,2.79959
56,291,3.09931
56,296,3.07416
56,301,2.78194
56,306,3.04356
56,311,3.19211
56,316,3.33221
56,321,3.0177
56,326,2.9388
56,331,2.96467
56,336,4.05045
56,341,2.84702
56,346,3.55381
56,351,3.67553
56,356,3.51429
56,361,3.88702
56,366,3.32634
56,371,4.08683
56,376,3.18662
56,381,3.33359
56,386,3.77989
56,391,3.37529
56,396,3.77214
56,401,3.86682
56,406,3.39916
56,411,3.47228
56,416,4.47208
56,421,4.30615
56,426,4.43951
56,431,4.44534
56,436,3.6903
56,441,3.81485
56,446,3.87817
56,451,3.87405
56,456,4.09956
56,461,4.20192
56,466,3.93418
56,471,4.00644
56,476,5.28568
56,481,4.53156
56,486,5.23528
56,491,5.86967
56,496,4.97739
61,1,0.103204
61,6,0.16386
61,11,0.247889
61,16,0.46497
61,21,0.22959
61,26,0.341449
61,31,0.874673
61,36,0.41832
61,41,0.496328
61,46,0.804037
61,51,0.792691
61,56,0.855317
61,61,0.671776
61,66,0.729282
61,71,1.03746
61,76,0.712093
61,81,0.720322
61,86,0.453841
61,91,0.803464
61,96,0.995044
61,101,0.891744
61,106,1.0811
61,111,1.0593
61,116,0.980544
61,121,1.07962
61,126,1.28396
61,131,1.17567
61,136,1.5175
61,141,1.65971
61,146,1.26304
61,151,1.46388
61,156,1.45145
61,161,1.80601
61,166,1.73557
61,171,1.65762
61,176,1.91602
61,181,1.78207
61,186,2.66338
61,191,1.83175
61,196,3.26972
61,201,2.12134
61,206,2.46452
61,211,2.10456
61,216,2.37061
61,221,2.34738
61,226,2.7294
61,231,2.48155
61,236,2.8444
61,241,2.37858
61,246,2.73543
61,251,2.45379
61,256,2.65432
61,261,2.48169
61,266,2.8399
61,271,3.25437
61,276,2.86432
61,281,2.71324
61,286,2.97903
61,291,3.7504
61,296,2.88015
61,301,2.90461
61,306,2.98006
61,311,4.01474
61,316,3.09475
61,321,3.2358
61,326,3.61151
61,331,3.64625
61,336,3.87384
61,341,3.17476
61,346,4.18163
61,351,3.5891
61,356,3.46582
61,361,3.42564
61,366,4.49693
61,371,3.84384
61,376,4.07388
61,381,4.20468
61,386,3.67823
61,391,4.49978
61,396,3.77997
61,401,3.89051
61,406,3.94173
61,411,5.38174
61,416,3.92341
61,421,4.12323
61,426,4.16269
61,431,4.52273
61,436,4.19116
61,441,4.22778
61,446,4.84835
61,451,5.22095
61,456,5.39819
61,461,4.36526
61,466,5.69084
61,471,5.02818
61,476,4.53703
61,481,4.4399
