n,V,resultado,tiempo (fuerzabruta)
1,30,-1,0.021213
1,30,-1,0.020838
1,30,-1,0.0206
1,30,-1,0.02325
1,30,-1,0.01465
1,30,-1,0.015387
1,30,-1,0.021188
1,30,-1,0.014588
1,30,-1,0.021201
1,30,-1,0.020962
1,30,-1,0.023751
1,30,-1,0.013863
1,40,-1,0.022176
1,40,-1,0.01545
1,40,-1,0.019713
1,40,-1,0.021601
1,40,-1,0.02045
1,40,-1,0.500133
1,40,-1,0.024488
1,40,-1,0.018238
1,40,-1,0.021713
1,40,-1,0.017425
1,40,-1,0.015488
1,40,-1,0.0183
1,40,-1,0.013925
1,40,-1,0.015676
1,40,-1,0.0146
1,40,-1,0.014376
1,40,-1,0.024238
1,40,-1,0.0183
1,40,-1,0.018025
1,40,-1,0.019801
1,50,-1,0.021388
1,50,-1,0.01435
1,50,-1,0.013838
1,50,-1,0.013713
1,50,-1,0.0144
1,50,-1,0.014625
1,50,-1,0.023313
1,50,-1,0.0161
1,50,-1,0.023013
1,50,-1,0.020475
1,50,-1,0.0194
1,50,-1,0.014575
1,50,-1,0.020287
1,50,-1,0.015213
1,50,-1,0.023576
1,50,-1,0.021487
1,50,-1,0.021637
1,50,-1,0.022375
1,50,-1,0.021887
1,50,-1,0.021238
1,60,-1,0.0288
1,60,-1,0.023487
1,60,-1,0.022113
1,60,-1,0.019675
1,60,-1,0.014288
1,60,-1,0.0252
1,60,-1,0.021463
1,60,-1,0.014625
1,60,-1,0.014612
1,60,-1,0.014387
1,60,-1,0.014637
1,60,-1,0.020663
1,60,-1,0.019451
1,60,-1,0.017775
1,60,-1,0.014138
1,60,-1,0.020113
1,60,-1,0.015437
1,60,-1,0.020838
1,60,-1,0.019901
1,60,-1,0.018725
1,70,-1,0.019913
1,70,-1,0.027575
1,70,-1,0.023001
1,70,-1,0.014837
1,70,-1,0.014851
1,70,-1,0.013988
1,70,-1,0.015113
1,70,-1,0.019788
1,70,-1,0.0219
1,70,-1,0.020113
1,70,-1,0.013625
1,70,-1,0.021475
1,70,-1,0.017338
1,70,-1,0.025138
1,70,-1,0.024913
1,70,-1,0.022163
1,70,-1,0.023938
1,70,-1,0.014788
1,70,-1,0.0198
1,70,-1,0.015326
1,80,-1,0.018638
1,80,-1,0.015113
1,80,-1,0.022313
1,80,-1,0.024213
1,80,-1,0.014725
1,80,-1,0.021713
1,80,-1,0.024588
1,80,-1,0.023513
1,80,-1,0.019825
1,80,-1,0.019925
1,80,-1,0.021226
1,80,-1,0.021813
1,80,-1,0.023387
1,80,-1,0.019713
1,80,-1,0.014337
1,80,-1,0.014863
1,80,-1,0.018463
1,80,-1,0.030901
1,80,-1,0.022075
1,80,-1,0.018751
1,90,-1,0.022775
1,90,-1,0.019638
1,90,-1,0.018563
1,90,-1,0.01465
1,90,-1,0.022362
1,90,-1,0.016088
1,90,-1,0.02475
1,90,-1,0.015687
1,90,-1,0.021463
1,90,-1,0.021913
1,90,-1,0.014388
1,90,-1,0.020213
1,90,-1,0.020176
1,90,-1,0.019726
1,90,-1,0.014213
1,90,-1,2.2084
1,90,-1,0.014325
1,90,-1,0.021325
1,90,-1,0.01985
1,90,-1,0.014375
1,100,-1,0.016612
1,100,-1,0.020126
1,100,-1,0.014825
1,100,-1,0.016463
1,100,-1,0.023551
1,100,-1,0.021463
1,100,-1,0.016838
1,100,-1,0.019013
1,100,-1,0.020162
1,100,-1,0.749649
1,100,-1,0.022163
1,100,-1,0.014201
1,100,-1,0.016375
1,100,-1,0.01605
1,100,-1,0.017413
1,100,-1,0.021276
1,100,-1,0.0187
1,100,-1,0.024425
1,100,-1,0.021201
1,100,-1,0.0144
1,110,-1,0.019776
1,110,-1,0.014062
1,110,-1,0.019175
1,110,-1,0.015688
1,110,-1,0.014587
1,110,-1,0.014337
1,110,-1,0.0182
1,110,-1,0.019163
1,110,-1,0.014175
1,110,-1,0.01455
1,110,-1,0.025863
1,110,-1,0.025926
1,110,-1,0.019701
1,110,-1,0.019313
1,110,-1,0.014588
1,110,-1,0.023688
1,110,-1,0.019288
1,110,-1,0.023188
1,110,-1,0.014575
1,110,-1,0.018688
1,120,-1,0.013651
1,120,-1,0.021026
1,120,-1,0.014625
1,120,-1,0.013613
1,120,-1,0.023051
1,120,-1,0.014926
