n,V,resultado,tiempo (programaciondinamica)
28,130,2,2.5919355
28,140,2,3.806237
28,150,2,2.5671215
28,160,2,2.680079
28,170,3,3.965268
28,180,2,3.4861815
28,190,1,2.4794445
28,200,2,3.0787245
29,10,2,0.2846657
29,20,2,0.61866875
29,30,1,0.8537656
29,40,2,0.6611449
29,50,2,1.2997399
29,60,2,0.8005041
29,70,1,1.61166635
29,80,1,2.433641
29,90,2,1.8808723
29,100,2,1.72606185
29,110,2,1.183128
29,120,2,2.147219
29,130,2,1.950047
29,140,2,3.229541
29,150,2,2.0369485
29,160,2,4.0893125
29,170,2,2.919532
29,180,2,2.9188605
29,190,1,2.9029955
29,200,2,3.3202205
30,10,1,0.46012915
30,20,1,0.54179365
30,30,2,0.5960284
30,40,2,1.0499296
30,50,1,0.98730425
30,60,2,1.18070005
30,70,2,1.681532
30,80,2,0.95549475
30,90,1,2.3336636
30,100,2,1.7205935
30,110,2,2.440332
30,120,2,2.1944545
30,130,2,4.456726
30,140,2,1.5152215
30,150,3,2.6343945
30,160,2,3.2648595
30,170,2,2.3237615
30,180,2,4.7814985
30,190,2,4.385933
